DÍA		COMPRA 	DOLAR	VENTA 	DOLAR
25/03/2010	3.82	3.86	5.08	5.13
23/03/2010	3.82	3.86	5.16	5.22
22/03/2010	3.82	3.86	5.18	5.24
19/03/2010	3.82	3.86	5.17	5.22
18/03/2010	3.82	3.86	5.2	5.26
17/03/2010	3.82	3.86	5.26	5.32
16/03/2010	3.82	3.86	5.24	5.3
15/03/2010	3.82	3.86	5.22	5.27
12/03/2010	3.82	3.86	5.25	5.3
11/03/2010	3.81	3.85	5.21	5.27
10/03/2010	3.81	3.85	5.2	5.26
09/03/2010	3.82	3.86	5.18	5.24
08/03/2010	3.81	3.85	5.2	5.24
05/03/2010	3.81	3.85	5.19	5.24
04/03/2010	3.81	3.85	5.18	5.23
03/03/2010	3.81	3.85	5.23	5.28
02/03/2010	3.81	3.85	5.17	5.22
01/03/2010	3.81	3.85	5.16	5.21
26/02/2010	3.81	3.85	5.19	5.25
25/02/2010	3.81	3.85	5.16	5.21
24/02/2010	3.82	3.86	5.17	5.23
23/02/2010	3.82	3.86	5.15	5.21
22/02/2010	3.82	3.86	5.19	5.24
19/02/2010	3.81	3.85	5.17	5.22
18/02/2010	3.81	3.85	5.18	5.23
17/02/2010	3.81	3.85	5.19	5.24
16/02/2010	3.81	3.85	5.25	5.3
15/02/2010	3.82	3.86	5.19	5.24
12/02/2010	3.81	3.85	5.19	5.24
11/02/2010	3.81	3.85	5.2	5.25
10/02/2010	3.8	3.84	5.22	5.28
09/02/2010	3.8	3.84	5.24	5.29
08/02/2010	3.8	3.84	5.2	5.24
05/02/2010	3.8	3.84	5.17	5.22
04/02/2010	3.8	3.84	5.22	5.27
03/02/2010	3.79	3.83	5.27	5.33
02/02/2010	3.792	3.832	5.29	5.34
01/02/2010	3.796	3.836	5.28	5.33
29/01/2010	3.795	3.835	5.26	5.32
28/01/2010	3.779	3.819	5.27	5.33
27/01/2010	3.77	3.81	5.29	5.35
26/01/2010	3.77	3.81	5.32	5.37
25/01/2010	3.76	3.8	5.32	5.38
22/01/2010	3.76	3.8	5.33	5.39
