"Fecha","Tipo de dólar","Precio de venta","Precio de compra"
"19/08/2011","Casas de cambio","4.200",""
"19/08/2011","Informal","4.370",""
"23/08/2011","Casas de cambio","4.205",""
"23/08/2011","Informal","4.368",""
"24/08/2011","Casas de cambio","4.210",""
"24/08/2011","Informal","4.390",""
"25/08/2011","Casas de cambio","4.210",""
"25/08/2011","Informal","4.423",""
"26/08/2011","Casas de cambio","4.210",""
"26/08/2011","Informal","4.438",""
"29/08/2011","Casas de cambio","4.215",""
"29/08/2011","Informal","4.443",""
"30/08/2011","Casas de cambio","4.220",""
"30/08/2011","Informal","4.443",""
"31/08/2011","Casas de cambio","4.220",""
"31/08/2011","Informal","4.430",""
"1/09/2011","Casas de cambio","4.240",""
"1/09/2011","Informal","4.415",""
"2/09/2011","Casas de cambio","4.245",""
"2/09/2011","Informal","4.428",""
"5/09/2011","Casas de cambio","4.250",""
"5/09/2011","Informal","4.418",""
"6/09/2011","Casas de cambio","4.250",""
"6/09/2011","Informal","4.418",""
"7/09/2011","Casas de cambio","4.250",""
"7/09/2011","Informal","4.428",""
"8/09/2011","Casas de cambio","4.240",""
"8/09/2011","Informal","4.428",""
"9/09/2011","Casas de cambio","4.240",""
"9/09/2011","Informal","4.430",""
"12/09/2011","Casas de cambio","4.240",""
"12/09/2011","Informal","4.433",""
"13/09/2011","Casas de cambio","4.240",""
"13/09/2011","Informal","4.435",""
"14/09/2011","Casas de cambio","4.240",""
"14/09/2011","Informal","4.435",""
"15/09/2011","Casas de cambio","4.240",""
"15/09/2011","Informal","4.440",""
"16/09/2011","Casas de cambio","4.240",""
"16/09/2011","Informal","4.440",""
"19/09/2011","Casas de cambio","4.240",""
"19/09/2011","Informal","4.443",""
"20/09/2011","Casas de cambio","4.230",""
"20/09/2011","Informal","4.443",""
"21/09/2011","Casas de cambio","4.230",""
"21/09/2011","Informal","4.438",""
"22/09/2011","Casas de cambio","4.230",""
"22/09/2011","Informal","4.448",""
"23/09/2011","Casas de cambio","4.230",""
"23/09/2011","Informal","4.485",""
"26/09/2011","Casas de cambio","4.240",""
"26/09/2011","Informal","4.473",""
"27/09/2011","Casas de cambio","4.235",""
"27/09/2011","Informal","4.450",""
"28/09/2011","Casas de cambio","4.240",""
"28/09/2011","Informal","4.453",""
"29/09/2011","Casas de cambio","4.240",""
"29/09/2011","Informal","4.433",""
"30/09/2011","Casas de cambio","4.240",""
"30/09/2011","Informal","4.433",""
"3/10/2011","Casas de cambio","4.240",""
"3/10/2011","Informal","4.423",""
"4/10/2011","Casas de cambio","4.235",""
"4/10/2011","Informal","4.438",""
"5/10/2011","Casas de cambio","4.240",""
"5/10/2011","Informal","4.433",""
"6/10/2011","Casas de cambio","4.245",""
"6/10/2011","Informal","4.405",""
"7/10/2011","Casas de cambio","4.245",""
"7/10/2011","Informal","4.398",""
"11/10/2011","Casas de cambio","4.245",""
"11/10/2011","Informal","4.393",""
"12/10/2011","Casas de cambio","4.240",""
"12/10/2011","Informal","4.378",""
"13/10/2011","Casas de cambio","4.245",""
"13/10/2011","Informal","4.425",""
"14/10/2011","Casas de cambio","4.245",""
"14/10/2011","Informal","4.428",""
"17/10/2011","Casas de cambio","4.250",""
"17/10/2011","Informal","4.413",""
"18/10/2011","Casas de cambio","4.250",""
"18/10/2011","Informal","4.418",""
"19/10/2011","Casas de cambio","4.260",""
"19/10/2011","Informal","4.453",""
"20/10/2011","Casas de cambio","4.260",""
"20/10/2011","Informal","4.468",""
"21/10/2011","Casas de cambio","4.265",""
"21/10/2011","Informal","4.470",""
"24/10/2011","Casas de cambio","4.265",""
"24/10/2011","Informal","4.460",""
"25/10/2011","Casas de cambio","4.265",""
"25/10/2011","Informal","4.465",""
"26/10/2011","Casas de cambio","4.265",""
"26/10/2011","Informal","4.475",""
"27/10/2011","Casas de cambio","4.265",""
"27/10/2011","Informal","4.495",""
"28/10/2011","Casas de cambio","4.265",""
"28/10/2011","Informal","4.488",""
"31/10/2011","Casas de cambio","4.265",""
"31/10/2011","Informal","4.488",""
"1/11/2011","Casas de cambio","4.270",""
"1/11/2011","Informal","4.620",""
"2/11/2011","Casas de cambio","4.270",""
"2/11/2011","Informal","4.690",""
"3/11/2011","Casas de cambio","4.275",""
"3/11/2011","Informal","4.680",""
